output_prefix	name	motif_id	cluster	total_tfbs	CD4_Good_mean_score	CD4_Good_bound	CD4_Poor_mean_score	CD4_Poor_bound	CD4_Good_CD4_Poor_change	CD4_Good_CD4_Poor_pvalue	CD4_Good_CD4_Poor_highlighted
Arnt_MA0004.1	Arnt	MA0004.1	C_ARNT::HIF1A	8295	0.81743	1641	0.73607	1470	-0.01967	9.19943E-31	False
PAX6_MA0069.1	PAX6	MA0069.1	C_PAX6	5863	0.42088	257	0.33313	202	0.0629	8.04535E-69	False
RORA_MA0071.1	RORA	MA0071.1	C_RORA	9448	0.40113	301	0.32703	247	0.0297	4.01936E-49	False
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	6070	0.50949	363	0.42766	299	0.0348	3.76721E-44	False
REL_MA0101.1	REL	MA0101.1	C_REL	9667	0.58165	855	0.518	748	-0.02507	2.23542E-44	False
RELA_MA0107.1	RELA	MA0107.1	C_REL	11541	0.5757	956	0.51477	878	-0.02355	3.96571E-44	False
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	9411	0.44849	451	0.37445	372	0.02402	6.36672E-46	False
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	9171	0.62444	846	0.55863	750	-0.0144	1.09481E-26	False
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIB	10186	0.49729	643	0.42878	552	-0.00419	2.90870E-05	False
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	19171	0.43138	750	0.35789	618	0.02479	4.19289E-61	False
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_Pou5f1::Sox2	22793	0.33059	386	0.2406	283	0.09337	1.84840E-120	False
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	37921	0.57762	3136	0.50943	2676	-0.00994	3.77455E-31	False
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	24580	0.32849	378	0.23783	271	0.09934	1.02079E-120	False
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	18110	0.6525	1912	0.59746	1679	-0.05379	2.80982E-87	False
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	10716	0.50847	627	0.43959	538	-0.00017	6.40150E-01	False
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	21403	0.72977	2823	0.68091	2554	-0.07778	7.98916E-103	False
Tfcp2l1_MA0145.2	Tfcp2l1	MA0145.2	C_Tfcp2l1	12652	0.61263	1194	0.55269	1044	-0.03686	6.18487E-66	False
DUX4_MA0468.1	DUX4	MA0468.1	C_DUX4	12501	0.35173	358	0.26441	312	0.08611	6.92585E-97	False
