"","output_prefix","name","motif_id","cluster","total_tfbs","CD4_Good_mean_score","CD4_Good_bound","CD4_Poor_mean_score","CD4_Poor_bound","CD4_Good_CD4_Poor_change","CD4_Good_CD4_Poor_pvalue","CD4_Good_CD4_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"1","PAX6_MA0069.1","PAX6","MA0069.1","C_PAX6",5863,0.42088,257,0.33313,202,0.0629,8.04535e-69,"False","Up_CD4_Good",68.0944550578717,5,"Capped"
"2","RORA_MA0071.1","RORA","MA0071.1","C_RORA",9448,0.40113,301,0.32703,247,0.0297,4.01936e-49,"False","Not Significant",48.39584309383,5,"Capped"
"3","RXRAVDR_MA0074.1","RXRA::VDR","MA0074.1","C_RXRA::VDR",6070,0.50949,363,0.42766,299,0.0348,3.76721e-44,"False","Not Significant",43.4239801697359,5,"Capped"
"4","REL_MA0101.1","REL","MA0101.1","C_REL",9667,0.58165,855,0.518,748,-0.02507,2.23542e-44,"False","Not Significant",43.6506408678135,5,"Capped"
"5","RELA_MA0107.1","RELA","MA0107.1","C_REL",11541,0.5757,956,0.51477,878,-0.02355,3.96571e-44,"False","Not Significant",43.4016790475701,5,"Capped"
"6","NR1H2RXRA_MA0115.1","NR1H2::RXRA","MA0115.1","C_NR1H2::RXRA",9411,0.44849,451,0.37445,372,0.02402,6.36672e-46,"False","Not Significant",45.1960842494182,5,"Capped"
"7","NFICTLX1_MA0119.1","NFIC::TLX1","MA0119.1","C_NFIB",10186,0.49729,643,0.42878,552,-0.00419,2.9087e-05,"False","Not Significant",4.53630106908063,4.53630106908063,"Not Capped"
"8","ZNF354C_MA0130.1","ZNF354C","MA0130.1","C_ZNF354C",19171,0.43138,750,0.35789,618,0.02479,4.19289e-61,"False","Not Significant",60.3774865311141,5,"Capped"
"9","INSM1_MA0155.1","INSM1","MA0155.1","C_INSM1",18110,0.6525,1912,0.59746,1679,-0.05379,2.80982e-87,"False","Up_CD4_Poor",86.5513215005613,5,"Capped"
"10","RARARXRA_MA0159.1","RARA::RXRA","MA0159.1","C_RARA::RXRA",10716,0.50847,627,0.43959,538,-0.00017,0.64015,"False","Not Significant",0.193718250173307,0.193718250173307,"Not Capped"
"11","PLAG1_MA0163.1","PLAG1","MA0163.1","C_PLAG1",21403,0.72977,2823,0.68091,2554,-0.07778,7.98916e-103,"False","Up_CD4_Poor",102.097498881079,5,"Capped"
"12","DUX4_MA0468.1","DUX4","MA0468.1","C_DUX4",12501,0.35173,358,0.26441,312,0.08611,6.92585e-97,"False","Up_CD4_Good",96.1595269186309,5,"Capped"
"13","ESR2_MA0258.2","ESR2","MA0258.2","C_ESR2",12125,0.49089,607,0.42639,497,-0.00713,5.44549e-11,"False","Not Significant",10.2639630351513,5,"Capped"
"14","SREBF1_MA0595.1","SREBF1","MA0595.1","C_SREBF1",9087,0.54,702,0.46577,613,0.00683,2.26984e-07,"False","Not Significant",6.64400475495054,5,"Capped"
"15","SREBF2_MA0596.1","SREBF2","MA0596.1","C_SREBF1",10908,0.46629,535,0.39594,468,0.00764,8.6028e-11,"False","Not Significant",10.0653601735663,5,"Capped"
"16","KLF5_MA0599.1","KLF5","MA0599.1","C_KLF5",53586,1.00921,14732,0.94851,13524,-0.08058,3.9162e-125,"False","Up_CD4_Poor",124.40713513692,5,"Capped"
"17","FOXG1_MA0613.1","FOXG1","MA0613.1","C_FKH1",14208,0.39073,480,0.30341,377,0.07139,7.45115e-90,"False","Up_CD4_Good",89.1277766936798,5,"Capped"
"18","BHLHE41_MA0636.1","BHLHE41","MA0636.1","C_cyc",2918,0.97407,818,0.88915,750,-0.03693,7.13197e-37,"False","Not Significant",36.1467904923141,5,"Capped"
"19","ELF4_MA0641.1","ELF4","MA0641.1","C_ELF2",10167,0.91604,2593,0.8259,2251,-0.01749,4.58798e-31,"False","Not Significant",30.3383784839505,5,"Capped"
"20","FOXI1_MA0042.2","FOXI1","MA0042.2","C_FKH1",10426,0.40266,419,0.31276,334,0.07396,5.82821e-92,"False","Up_CD4_Good",91.234464808275,5,"Capped"
